Timestamp,Stock_code,Price,Changes,Volume,One_year_target
2024-03-07 21:07:15,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:07:20,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:07:21,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:07:23,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:07:24,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:07:25,FB,[],[],[],[]
2024-03-07 21:07:26,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:08:28,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:08:29,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:08:30,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:08:32,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:08:33,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:08:34,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:08:35,FB,[],[],[],[]
2024-03-07 21:08:37,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:09:38,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:09:39,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:09:40,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:09:41,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:09:43,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:09:44,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:09:45,FB,[],[],[],[]
2024-03-07 21:09:46,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:10:47,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:10:48,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:10:50,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:10:51,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:10:52,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:10:53,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:10:54,FB,[],[],[],[]
2024-03-07 21:10:56,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:11:57,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:11:58,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:12:00,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:12:01,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:12:02,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:12:04,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:12:06,FB,[],[],[],[]
2024-03-07 21:12:08,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:13:10,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:13:11,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:13:12,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:13:13,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:13:14,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:13:16,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:13:17,FB,[],[],[],[]
2024-03-07 21:13:18,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:14:19,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:14:20,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:14:22,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:14:24,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:14:25,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:14:26,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:14:27,FB,[],[],[],[]
2024-03-07 21:14:28,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:15:29,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:15:31,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:15:32,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:15:33,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:15:34,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:15:36,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:15:37,FB,[],[],[],[]
2024-03-07 21:15:38,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:16:40,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:16:41,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:16:42,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:16:43,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:16:45,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:16:46,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:16:47,FB,[],[],[],[]
2024-03-07 21:16:48,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:17:50,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:17:52,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:17:54,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:17:55,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:17:56,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
